Year,Median House Price 
1/1/1984,79950
1/1/1985,84275
1/1/1986,92025
1/1/1987,104700
1/1/1988,112225
1/1/1989,120425
1/1/1990,122300
1/1/1991,119975
1/1/1992,121375
1/1/1993,126500
1/1/1994,130425
1/1/1995,133475
1/1/1996,140250
1/1/1997,145000
1/1/1998,151925
1/1/1999,160125
1/1/2000,167550
1/1/2001,173100
1/1/2002,186025
1/1/2003,192125
1/1/2004,218150
1/1/2005,236550
1/1/2006,243750
1/1/2007,244950
1/1/2008,229550
1/1/2009,215650
1/1/2010,222700
1/1/2011,224900
1/1/2012,244400
1/1/2013,266225
1/1/2014,285775
1/1/2015,294150
1/1/2016,305125
1/1/2017,322425
1/1/2018,325275
1/1/2019,320250
1/1/2020,328150
1/1/2021,383000
1/1/2022,432950
1/1/2023,426525
1/1/2024,418975
,
